"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
1,"439023483","Suzanne Collins",2008,"The Hunger Games","The Hunger Games (The Hunger Games, #1)","eng","https://images.gr-assets.com/books/1447303603m/2767052.jpg"
2,"439554934","J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Philosopher's Stone","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","eng","https://images.gr-assets.com/books/1474154022m/3.jpg"
3,"316015849","Stephenie Meyer",2005,"Twilight","Twilight (Twilight, #1)","en-US","https://images.gr-assets.com/books/1361039443m/41865.jpg"
4,"61120081","Harper Lee",1960,"To Kill a Mockingbird","To Kill a Mockingbird","eng","https://images.gr-assets.com/books/1361975680m/2657.jpg"
5,"743273567","F. Scott Fitzgerald",1925,"The Great Gatsby","The Great Gatsby","eng","https://images.gr-assets.com/books/1490528560m/4671.jpg"
6,"525478817","John Green",2012,"The Fault in Our Stars","The Fault in Our Stars","eng","https://images.gr-assets.com/books/1360206420m/11870085.jpg"
7,"618260307","J.R.R. Tolkien",1937,"The Hobbit or There and Back Again","The Hobbit","en-US","https://images.gr-assets.com/books/1372847500m/5907.jpg"
8,"316769177","J.D. Salinger",1951,"The Catcher in the Rye","The Catcher in the Rye","eng","https://images.gr-assets.com/books/1398034300m/5107.jpg"
9,"1416524797","Dan Brown",2000,"Angels & Demons ","Angels & Demons  (Robert Langdon, #1)","en-CA","https://images.gr-assets.com/books/1303390735m/960.jpg"
10,"679783261","Jane Austen",1813,"Pride and Prejudice","Pride and Prejudice","eng","https://images.gr-assets.com/books/1320399351m/1885.jpg"
11,"1594480001","Khaled Hosseini",2003,"The Kite Runner ","The Kite Runner","eng","https://images.gr-assets.com/books/1484565687m/77203.jpg"
12,"62024035","Veronica Roth",2011,"Divergent","Divergent (Divergent, #1)","eng","https://images.gr-assets.com/books/1328559506m/13335037.jpg"
13,"451524934","George Orwell, Erich Fromm, Celâl Üster",1949,"Nineteen Eighty-Four","1984","eng","https://images.gr-assets.com/books/1348990566m/5470.jpg"
14,"452284244","George Orwell",1945,"Animal Farm: A Fairy Story","Animal Farm","eng","https://images.gr-assets.com/books/1424037542m/7613.jpg"
15,"553296981","Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,"Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944","The Diary of a Young Girl","eng","https://images.gr-assets.com/books/1358276407m/48855.jpg"
16,"307269752","Stieg Larsson, Reg Keeland",2005,"Män som hatar kvinnor","The Girl with the Dragon Tattoo (Millennium, #1)","eng","https://images.gr-assets.com/books/1327868566m/2429135.jpg"
17,"439023491","Suzanne Collins",2009,"Catching Fire","Catching Fire (The Hunger Games, #2)","eng","https://images.gr-assets.com/books/1358273780m/6148028.jpg"
18,"043965548X","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","eng","https://images.gr-assets.com/books/1499277281m/5.jpg"
19,"618346252","J.R.R. Tolkien",1954," The Fellowship of the Ring","The Fellowship of the Ring (The Lord of the Rings, #1)","eng","https://images.gr-assets.com/books/1298411339m/34.jpg"
20,"439023513","Suzanne Collins",2010,"Mockingjay","Mockingjay (The Hunger Games, #3)","eng","https://images.gr-assets.com/books/1358275419m/7260188.jpg"
21,"439358078","J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","eng","https://images.gr-assets.com/books/1387141547m/2.jpg"
22,"316166685","Alice Sebold",2002,"The Lovely Bones","The Lovely Bones","eng","https://images.gr-assets.com/books/1457810586m/12232938.jpg"
23,"439064864","J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","eng","https://images.gr-assets.com/books/1474169725m/15881.jpg"
